algo,k_fold,time_running,time,acc,dataset,pc,-1_precision,-1_recall,-1_f1-score,-1_support,1_precision,1_recall,1_f1-score,1_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
NSK,1,1671746517,0.11104416847229004,0.8947368421052632,musk1,DESKTOP-KB1MVGV,1.0,0.7777777777777778,0.8750000000000001,9,0.8333333333333334,1.0,0.9090909090909091,10,0.9166666666666667,0.8888888888888888,0.8920454545454546,19,0.9122807017543861,0.8947368421052632,0.8929425837320574,19
NSK,2,1671746518,1.1477549076080322,0.8947368421052632,musk1,DESKTOP-KB1MVGV,0.8181818181818182,1.0,0.9,9,1.0,0.8,0.888888888888889,10,0.9090909090909092,0.9,0.8944444444444445,19,0.9138755980861244,0.8947368421052632,0.8941520467836256,19
NSK,3,1671746519,2.12070631980896,0.8888888888888888,musk1,DESKTOP-KB1MVGV,1.0,0.7777777777777778,0.8750000000000001,9,0.8181818181818182,1.0,0.9,9,0.9090909090909092,0.8888888888888888,0.8875000000000001,18,0.9090909090909091,0.8888888888888888,0.8875000000000001,18
NSK,4,1671746520,3.101203680038452,1.0,musk1,DESKTOP-KB1MVGV,1.0,1.0,1.0,9,1.0,1.0,1.0,9,1.0,1.0,1.0,18,1.0,1.0,1.0,18
NSK,5,1671746520,3.8987536430358887,1.0,musk1,DESKTOP-KB1MVGV,1.0,1.0,1.0,9,1.0,1.0,1.0,9,1.0,1.0,1.0,18,1.0,1.0,1.0,18
MissSVM,1,1671759923,30.707332849502563,0.475,fox,Mac-mini.local,0.4857142857142857,0.85,0.6181818181818183,20,0.4,0.1,0.16000000000000003,20,0.44285714285714284,0.475,0.38909090909090915,40,0.4428571428571429,0.475,0.38909090909090915,40
MissSVM,2,1671759953,60.26848006248474,0.475,fox,Mac-mini.local,0.4857142857142857,0.85,0.6181818181818183,20,0.4,0.1,0.16000000000000003,20,0.44285714285714284,0.475,0.38909090909090915,40,0.4428571428571429,0.475,0.38909090909090915,40
MissSVM,3,1671759983,90.26212882995605,0.55,fox,Mac-mini.local,0.5277777777777778,0.95,0.6785714285714285,20,0.75,0.15,0.24999999999999997,20,0.6388888888888888,0.5499999999999999,0.46428571428571425,40,0.638888888888889,0.55,0.46428571428571425,40
MissSVM,4,1671760009,116.29734897613525,0.45,fox,Mac-mini.local,0.4583333333333333,0.55,0.5,20,0.4375,0.35,0.38888888888888884,20,0.44791666666666663,0.45,0.4444444444444444,40,0.44791666666666663,0.45,0.4444444444444445,40
MissSVM,5,1671760041,148.25075793266296,0.475,fox,Mac-mini.local,0.48484848484848486,0.8,0.6037735849056605,20,0.42857142857142855,0.15,0.2222222222222222,20,0.45670995670995673,0.47500000000000003,0.41299790356394134,40,0.45670995670995673,0.475,0.4129979035639414,40
MissSVM,1,1671760060,16.17754292488098,0.6578947368421053,mutagenesis-atoms,Mac-mini.local,0.0,0.0,0.0,13,0.6578947368421053,1.0,0.7936507936507937,25,0.32894736842105265,0.5,0.39682539682539686,38,0.43282548476454297,0.6578947368421053,0.5221386800334169,38
MissSVM,2,1671760076,32.530837059020996,0.34210526315789475,mutagenesis-atoms,Mac-mini.local,0.34210526315789475,1.0,0.5098039215686275,13,0.0,0.0,0.0,25,0.17105263157894737,0.5,0.25490196078431376,38,0.11703601108033242,0.34210526315789475,0.17440660474716205,38
MissSVM,3,1671760096,52.32449388504028,0.34210526315789475,mutagenesis-atoms,Mac-mini.local,0.34210526315789475,1.0,0.5098039215686275,13,0.0,0.0,0.0,25,0.17105263157894737,0.5,0.25490196078431376,38,0.11703601108033242,0.34210526315789475,0.17440660474716205,38
MissSVM,4,1671760155,112.07629013061523,0.43243243243243246,mutagenesis-atoms,Mac-mini.local,0.36363636363636365,1.0,0.5333333333333333,12,1.0,0.16,0.2758620689655173,25,0.6818181818181819,0.58,0.4045977011494253,37,0.7936117936117936,0.43243243243243246,0.3593662628145387,37
MissSVM,5,1671760182,138.7798421382904,0.6756756756756757,mutagenesis-atoms,Mac-mini.local,0.0,0.0,0.0,12,0.6756756756756757,1.0,0.8064516129032258,25,0.33783783783783783,0.5,0.4032258064516129,37,0.4565376186997808,0.6756756756756757,0.5448997384481256,37
MissSVM,1,1671760691,505.46441078186035,0.34210526315789475,mutagenesis-bonds,Mac-mini.local,0.34210526315789475,1.0,0.5098039215686275,13,0.0,0.0,0.0,25,0.17105263157894737,0.5,0.25490196078431376,38,0.11703601108033242,0.34210526315789475,0.17440660474716205,38
MissSVM,2,1671761174,989.2954258918762,0.34210526315789475,mutagenesis-bonds,Mac-mini.local,0.34210526315789475,1.0,0.5098039215686275,13,0.0,0.0,0.0,25,0.17105263157894737,0.5,0.25490196078431376,38,0.11703601108033242,0.34210526315789475,0.17440660474716205,38
MissSVM,3,1671762273,2087.922051668167,0.34210526315789475,mutagenesis-bonds,Mac-mini.local,0.34210526315789475,1.0,0.5098039215686275,13,0.0,0.0,0.0,25,0.17105263157894737,0.5,0.25490196078431376,38,0.11703601108033242,0.34210526315789475,0.17440660474716205,38
